FIU,Florida International
FOR,Fordham
FAIR,Fairfield
MEM,Memphis
PSU,Penn State
ODU,Old Dominion
UVA,Virginia
OAK,Oakland
PRST,Portland State
PUR,Purdue
UIC,UIC
W&M,William & Mary
CLMB,Columbia
NCST,NC State
WRST,Wright State
HP,High Point
DEL,Delaware
UNCA,UNC Asheville
HOU,Houston
DUKE,Duke
LIB,Liberty
UMASS,Massachusetts
UVM,Vermont
MSU,Michigan State
MSU,Mich. St. 
NJIT,NJIT
NEB,Nebraska
TOWS,Towson
SLU,Saint Louis
HOF,Hofstra
CLEV,Cleveland State
TLSA,Tulsa
UTEP,UTEP
SPU,St. Peter's
XAV,Xavier
CIN,Cincinnati
LOU,Louisville
UNC,North Carolina
USF,South Florida
SBON,St. Bonaventure
IDST,Idaho State
SMU,Southern Methodist
SMU,SMU
GTWN,Georgetown
TCU,Texas Christian
OKST,Oklahoma State
UCD,UC-Davis
YSU,Youngstown State
UCI,UC Irvine
UNF,North Florida
NKU,Northern Kentucky
RICE,Rice
SYR,Syracuse
SAC,Sacramento State
PRE,Presbyterian
MINN,Minnesota
MD,Maryland
PROV,Providence
MTSU,Middle Tennessee
GW,George Washington
HARV,Harvard
MILW,Milwaukee
JAC,Jacksonville
COFC,College of Charleston
LBSU,Long Beach State
GB,Green Bay
EWU,Eastern Washington
LIP,Lipscomb
FAU,Florida Atlantic
STON,Stony Brook
PRIN,Princeton
OSU,Ohio State
MTST,Montana State
BC,Boston College
TEX,Texas
MAINE,Maine
SIE,Siena
MONT,Montana
FGCU,Florida Gulf Coast
UNCW,UNC Wilmington
WISC,Wisconsin
MRST,Marist
NIAG,Niagara
ISU,Iowa State
WKU,Western Kentucky
STET,Stetson
CHAR,Charlotte
IONA,Iona
UNCO,Northern Colorado
HAW,Hawaii
DEP,DePaul
YALE,Yale
CAN,Canisius
LONG,Longwood
TEM,Temple
NAU,Northern Arizona
ALBY,Albany (NY)
UMBC,UMBC
UCSB,UCSB
DET,Detroit
GT,Georgia Tech
BRWN,Brown
CP,Cal Poly
BUT,Butler
PENN,Penn
COR,Cornell
HART,Hartford
CONN,Connecticut
KU,Kansas
WEBB,Gardner-Webb
JOES,St. Joseph's
LAS,La Salle
OKLA,Oklahoma
CLEM,Clemson
NE,Northeastern
IND,Indiana
MIA,Miami (FL)
USM,Southern Miss
MICH,Michigan
ND,Notre Dame
WAKE,Wake Forest
MONM,Monmouth
FSU,Florida State
KSU,Kansas State
DREX,Drexel
KENN,Kennesaw State
MRSH,Marshall
BING,Binghamton
UPST,USC Upstate
WIN,Winthrop
TTU,Texas Tech
UND,North Dakota
VT,Virginia Tech
UNT,North Texas
PITT,Pittsburgh
RUTG,Rutgers
URI,Rhode Island
SJU,St. John's (NY)
ECU,East Carolina
MARQ,Marquette
UNH,New Hampshire
ILL,Illinois
RAD,Radford
CAMP,Campbell
GMU,George Mason
CHSO,Charleston Southern
ELON,Elon
DUQ,Duquesne
BAY,Baylor
MAN,Manhattan
VCU,VCU
CSUN,Cal State Northridge
LT,Louisiana Tech
DART,Dartmouth
UAB,UAB
NOVA,Villanova
DAV,Davidson
RICH,Richmond
JMU,James Madison
IDHO,Idaho
WEB,Weber State
CREI,Creighton
TULN,Tulane
WVU,West Virginia
DAY,Dayton
CSF,Cal State Fullerton
HALL,Seton Hall
SUU,Southern Utah
UML,UMass
NW,Northwestern
VALP,Valparaiso
IOWA,Iowa
UTSA,UTSA
QU,Quinnipiac
UCRV,UC-Riverside
RID,Rider
UCF,Central Florida
WOF,Wofford
SEMO,Southeast Missouri State
BYU,BYU
CIT,Citadel
NAVY,Navy
AMER,American
IW,Incarnate Word
UNCG,UNC Greensboro
NWST,Northwestern State
UVU,Utah Valley
CAL,California
COLG,Colgate
DSU,Delaware State
UAPB,Arkansas-Pine Bluff
CCSU,Central Connecticut
ASU,Arizona St.
HAMP,Hampton
SHU,Sacred Heart
ORU,Oral Roberts
USA,South Alabama
TRGV,Texas-Rio Grande Valley
SJSU,San Jose State
